iter	MultiClass
0	2.116347806
1	2.024103785
2	1.966137
3	1.916833319
4	1.881170711
5	1.852737159
6	1.826008327
7	1.803042103
8	1.782685318
9	1.763169409
10	1.739989858
11	1.72033175
12	1.703867859
13	1.688484997
14	1.673779223
15	1.661448276
16	1.649635925
17	1.636308993
18	1.622718776
19	1.607545329
20	1.595630787
21	1.585979604
22	1.573780011
23	1.564257872
24	1.550153509
25	1.536590518
26	1.52599215
27	1.515355595
28	1.50751676
29	1.500888413
30	1.489720604
31	1.47843641
32	1.466902391
33	1.460137882
34	1.454337479
35	1.444595835
36	1.436384362
37	1.426386759
38	1.418479273
39	1.412871239
40	1.40444966
41	1.396625627
42	1.391548978
43	1.384811696
44	1.378966577
45	1.372082037
46	1.365958538
47	1.357793587
48	1.35003007
49	1.345641409
