iter	Passed	Remaining
0	2543	124625
1	4889	117354
2	7666	120102
3	10471	120427
4	12921	116297
5	15585	114293
6	18183	111700
7	20524	107754
8	22841	104054
9	25164	100659
10	27495	97482
11	29782	94311
12	32189	91617
13	34541	88820
14	36903	86108
15	39266	83441
16	41599	80752
17	43966	78161
18	46310	75559
19	48690	73035
20	51089	70551
21	53380	67938
22	55759	65457
23	58134	62979
24	60498	60498
25	62870	58034
26	65186	55528
27	67480	53020
28	69746	50506
29	71978	47985
30	74245	45505
31	76534	43050
32	78846	40618
33	81093	38161
34	83341	35717
35	85639	33304
36	87926	30892
37	90213	28488
38	92458	26077
39	94708	23677
40	97025	21298
41	99312	18916
42	101548	16531
43	103819	14157
44	106071	11785
45	108336	9420
46	110615	7060
47	112899	4704
48	115355	2354
49	117727	0
